,id
0,82412
1,67230
2,40570
3,29592
4,66322
5,43895
6,37564
7,74439
8,75506
9,9120
10,63828
11,78784
12,39155
13,39614
14,65934
15,51745
16,10572
17,32619
18,34821
19,32618
20,32617
21,52456
22,17421
23,71460
24,81276
25,80845
26,4602
27,8376
28,68318
29,82528
30,31834
31,31835
32,63833
33,73018
34,3992
35,65935
36,27040
37,65936
38,65937
39,80620
40,66731
41,51630
42,52057
43,71471
44,72333
45,66310
46,75976
47,76414
48,76415
49,76416
50,76417
51,48975
52,49630
53,5240
54,67823
55,65938
56,65939
57,65940
58,13722
59,10074
60,4804
61,60523
62,59121
63,65942
64,65943
65,65944
66,25932
67,65948
68,65949
69,29835
70,41590
71,74255
72,81885
73,65951
74,26877
75,66311
76,19491
77,38805
78,8760
79,6442
80,63490
81,50817
82,995
83,53323
84,25587
85,14758
86,37982
87,37983
88,37985
89,21324
90,7342
91,36124
92,81886
93,5291
94,46387
95,12712
96,16067
97,25463
98,16897
99,35130
100,62317
101,66312
102,10466
103,8861
104,7483
105,43745
106,66113
107,39434
108,6693
109,78504
110,49795
111,60234
112,73576
113,44801
114,3657
115,49480
116,34057
117,55226
118,12262
119,48587
120,8439
121,16598
122,7242
123,7906
124,22427
125,36527
126,58312
127,57122
128,74754
129,14914
130,2913
131,51371
132,60822
133,5277
134,14877
135,58894
136,22284
137,40571
138,54793
139,54794
140,45716
141,50551
142,71401
143,46045
144,60004
145,6963
146,70045
147,1844
148,5991
149,67846
150,2513
151,13631
152,31836
153,14366
154,75502
155,58091
156,58733
157,80911
158,62165
159,62734
160,25893
161,79362
162,38383
163,72970
164,80107
165,4842
166,19401
167,47837
168,64896
169,61961
170,18274
171,7573
172,41950
173,11017
174,13983
175,12804
176,7971
177,5530
178,5472
179,5772
180,2696
181,14233
182,12818
183,63357
184,31853
185,23141
186,34313
187,52884
188,62259
189,63485
190,53594
191,37575
192,43190
193,77320
194,64704
195,23753
196,64332
197,54330
198,61306
199,62172
200,67669
201,43071
202,60121
203,6374
204,19352
205,52885
206,55480
207,12316
208,15445
209,13090
210,38999
211,24964
212,2995
213,64594
214,66335
215,15358
216,6547
217,21484
218,3733
219,43644
220,43643
221,57883
222,52886
223,21695
224,43645
225,52887
226,14057
227,23738
228,25199
229,17346
230,688
231,6827
232,19828
233,29609
234,45116
235,5160
236,19103
237,2916
238,19523
239,19269
240,52498
241,72294
242,54623
243,76451
244,57413
245,71235
246,37854
247,9196
248,8278
249,18317
250,32069
251,40916
252,65508
253,32166
254,2669
255,80827
256,19506
257,34374
258,18694
259,48254
260,48506
261,82626
262,72006
263,24063
264,31858
265,39598
266,281
267,18298
268,47016
269,71312
270,24219
271,2309
272,47103
273,11346
274,18538
275,21532
276,9434
277,8664
278,58473
279,51115
280,9794
281,12226
282,3053
283,52116
284,19773
285,9703
286,59684
287,65215
288,52888
289,79885
290,10199
291,5143
292,4151
293,81622
294,64820
295,61747
296,49788
297,42186
298,58774
299,3480
300,65889
301,65758
302,76109
303,70
304,17333
305,70726
306,43583
307,41523
308,53408
309,20099
310,21968
311,7923
312,42456
313,52889
314,28921
315,66130
316,52890
317,888
318,60258
319,51195
320,36944
321,26762
322,3924
323,26397
324,30830
325,58912
326,24269
327,6235
328,72441
329,23678
330,10808
331,35071
332,62104
333,53490
334,58447
335,58980
336,38879
337,55031
338,57494
339,38934
340,47793
341,13274
342,53265
343,8747
344,43977
345,56654
346,61490
347,36908
348,51228
349,42724
350,58088
351,78876
352,1489
353,50685
354,46992
355,68774
356,78355
357,41777
358,20056
359,50035
360,44638
361,66043
362,4684
363,55574
364,15091
365,62517
366,38859
367,42468
368,50848
369,45676
370,69164
371,27266
372,60870
373,40572
374,70236
375,3111
376,41044
377,43428
378,56719
379,83451
380,52200
381,61054
382,43900
383,81894
384,81892
385,3696
386,39535
387,25508
388,11209
389,16561
390,64027
391,63423
392,60802
393,63665
394,52891
395,57283
396,49936
397,47650
398,60680
399,60679
400,65081
401,81260
402,82228
403,3734
404,7252
405,71914
406,18709
407,10963
408,54749
409,60252
410,38475
411,84201
412,60524
413,63759
414,46233
415,53624
416,57872
417,39439
418,29995
419,71478
420,36324
421,69274
422,3663
423,80683
424,6967
425,49840
426,72664
427,25476
428,37295
429,32092
430,63351
431,61975
432,74262
433,74618
434,46816
435,49217
436,59005
437,66578
438,72689
439,78875
440,65805
441,43707
442,42389
443,60021
444,74208
445,49261
446,58602
447,81531
448,63666
449,64118
450,77573
451,22003
452,52299
453,75539
454,76939
455,75498
456,57245
457,53184
458,63385
459,69350
460,68156
461,18618
462,84009
463,54356
464,72013
465,56789
466,80485
467,57117
468,63601
469,69791
470,69610
471,3250
472,57987
473,44051
474,77563
475,64189
476,62202
477,82391
478,83008
479,63360
480,21090
481,78496
482,46252
483,43199
484,59805
485,80129
486,54798
487,11827
488,78867
489,54498
490,63883
491,64030
492,49391
493,74438
494,78662
495,59952
496,82981
497,77424
498,51458
499,41420
500,4597
501,52501
502,63720
503,74839
504,65098
505,60463
506,70119
507,57729
508,76637
509,60526
510,28052
511,73992
512,55532
513,40509
514,9039
515,59352
516,77625
517,46791
518,72550
519,74640
520,77499
521,57928
522,81138
523,39637
524,68841
525,57396
526,22402
527,52142
528,78456
529,77592
530,31123
531,62065
532,14263
533,78523
534,53021
535,79027
536,63633
537,19762
538,61662
539,69245
540,32969
541,40983
542,21914
543,24845
544,33274
545,38304
546,30617
547,57148
548,64512
549,36940
550,59870
551,81781
552,52195
553,75422
554,50937
555,72400
556,43472
557,52529
558,68231
559,31348
560,72769
561,12271
562,4003
563,52896
564,66339
565,5525
566,37756
567,43665
568,54800
569,23165
570,18001
571,16416
572,68618
573,54069
574,52897
575,44113
576,48150
577,10867
578,63922
579,10080
580,19683
581,52898
582,52899
583,12201
584,23148
585,23149
586,23151
587,19566
588,42258
589,34591
590,41916
591,33981
592,48838
593,69324
594,19466
595,32168
596,83212
597,65221
598,4772
599,68786
600,40799
601,36987
602,25229
603,5288
604,57250
605,19041
606,1425
607,43639
608,40545
609,25198
610,43531
611,54801
612,10538
613,15486
614,46108
615,32428
616,12190
617,63403
618,82307
619,50413
620,1200
621,16567
622,54803
623,83335
624,2040
625,65091
626,49017
627,62597
628,2708
629,45127
630,13387
631,5431
632,78159
633,57562
634,64015
635,62240
636,31972
637,72635
638,51898
639,5421
640,16479
641,63185
642,35159
643,66702
644,37263
645,52900
646,1802
647,76370
648,49142
649,66953
